halId_s,version_i,uri_s,docType_s,doiId_s,nntId_s,title_s,abstract_s,keyword_s,authId_i,authFirstName_s,authLastName_s,authFullName_s,producedDate_s,domain_s,structAddress_s,structCode_s,structCountry_s,structName_s,structType_s,structAcronym_s,language_s
tel-01633543,1,https://tel.archives-ouvertes.fr/tel-01633543,THESE,,2017PA066136,"Intégration des usages récréatifs et de la biodiversité marine pour la gestion et l'évaluation des espaces côtiers. Application aux Aires Marines Protégées de Nouvelle-Calédonie à partir de suivis de la fréquentation et la biodiversité et d'un modèle d'aide à la gestion.,Integration of recreational uses and marine biodiversity for management and assessment of coastal areas. Application in New-Caledonian Marine Protected Areas from monitoring of the visitor number and the biodiversity and a model","Les espaces côtiers sont des socio-écosystèmes complexes où les composantes écologiques\, humaines et décisionnelles présentent des relations multiples et réciproques. Du fait de la croissance démographique et du tourisme\, ces espaces sont menacés en permanence par l’augmentation de l'intensité et de la diversité des usages récréatifs qui y sont pratiquées. Afin de mieux évaluer et gérer ces espaces\, il est nécessaire de prendre en compte explicitement les usages qui s’y pratiquent et les modalités d’intervention de la gestion. L’analyse de données de suivi de la fréquentation sur une période de 10 ans\, ainsi que d’enquêtes auprès des usagers a permis de montrer que le nombre d’usagers a particulièrement augmenté dans les AMP durant les week-ends et la saison estivale\, avec aussi une fréquence et une intensité accrues des pics de fréquentation. Bien que les pratiques au sein des AMP soient moins impactantes car encadrées par la gestion\, les pressions dues aux usages récréatifs y sont plus importantes du fait de la concentration des usagers dans ces espaces. On a constaté que l’état de santé de la biodiversité avait diminué et que la capacité de charge sociale était atteinte dans certains espaces récréatifs. Par ailleurs\, dans les AMP\, la qualité environnementale apparaît comme un facteur important de satisfaction pour les usagers\, mais les impacts qu’ils engendrent entraînent une perte de la biodiversité au niveau des peuplements de poissons\, des oiseaux et des habitats coralliens. De plus\, la concentration des usagers et la diversification de pratiques parfois conflictuelles dégradent la qualité de l’expérience des usagers les incitant à se déplacer vers d’autres sites. En conséquence les pressions se diffusent vers des sites moins accessibles\, souvent moins réglementés et donc plus vulnérables. L’ensemble de ces résultats a permis de définir un modèle décrivant les relations entre biodiversité\, usages et réponse de gestion\, et ce dans le but de tester des scénarios utiles à la gestion des espaces côtiers tout en identifiant les besoins en acquisition de connaissances.,Coastal areas are complex socio-ecosystem where ecological\, human and decisional compounds show multiple and reciprocal relationships. Because of the growth of population and tourism sector\, coastal areas are permanently threatened through increase of recreational uses and diversification of related activities. To better understand coastal areas functioning\, it is necessary to take into account uses and their management. Monitoring data over a ten years period revealed that recreational uses greatly increased especially within Marine Protecting Areas (MPA)\, during week-end days and warm season resulting to higher and more frequent frequentation peaks. While\, practices within MPA are managed to decrease impacts\, pressures associated with recreational uses are higher because of the concentration of users within MPA. As a consequence\, ecological state decrease and social carrying capacity has been reached in several sites. Environmental quality is an important feature of satisfaction for recreational users but their activity lead to ecological impacts on fish\, bird and habitat diversity of reef ecosystems. In addition\, users’ concentration and the diversification of sometimes conflicting practices decrease quality of experience of users and can lead to their displacement to other sites. As a consequence\, pressures spread to less accessible sites\, often not regulated and thus more threatened.Results allowed defining a model describing relationship between biodiversity\, uses and management response. This model was used to test management scenarios\, useful for integrated coastal area management and for identify knowledge gaps.","Uses,New-Caledonia,Evaluation,Usages,Nouvelle-Calédonie,AMP,GIZC,Evaluation,Indicateur,DPSIR",1668752,Charles,Gonson,Charles Gonson,2017-05-16,"0.sdv,1.sdv.ee","BP 2059 98845 Nouméa cedex,155\, rue Jean-Jacques Rousseau - 92 138 Issy-les-Moulineaux Cedex",,"nc,fr","Ifremer - Nouvelle-Calédonie,Institut Français de Recherche pour l'Exploitation de la Mer","laboratory,institution",IFREMER,fr
hal-01633542,1,https://hal.archives-ouvertes.fr/hal-01633542,ART,10.1007/s10853-011-6155-7,,"Structural\, optical\, and electrical properties of In2S3:Sn thin films grown by chemical bath deposition on Pyrex",,,"1668750,332219,672204,1668751","Mouna,Cathy,Michel,Najoua","Kilani,Guasch,Castagne,Kamoun-Turki","Mouna Kilani,Cathy Guasch,Michel Castagne,Najoua Kamoun-Turki",2012-04,"0.spi,1.spi.tron","LPMC\, Faculté des Sciences de Tunis\, Campus Universitaire \, 1060 Tunis\, Tunisie,Tunis,860\, rue Saint Priest\, Bâtiment 5 - CC 05001 -34095 Montpellier Cedex 5,163 rue Auguste Broussonnet - 34090 Montpellier",UMR5214,"fr,tn,tn,fr,fr,fr","Laboratoire de Physique de la Matière Condensée de Tunis,Faculté des Sciences de Tunis,Université Tunis El Manar,Institut d’Electronique et des Systèmes,Université de Montpellier,Centre National de la Recherche Scientifique","laboratory,institution,institution,laboratory,institution,institution","Laboratoire de Physique de la Matière Condensée de Tunis,IES,UM,CNRS",en
hal-01633541,1,https://hal.archives-ouvertes.fr/hal-01633541,ART,10.1021/acs.jpcc.7b08601,,Tuning Optical Properties of Dibenzochrysenes by Functionalization: A Many-Body Perturbation Theory Study,"Using many-body perturbation theory\, the optical properties of modified compact and angular dibenzochrysenes are investigated. First\, for a series of already existing molecules in that family\, the computed absorption spectra are benchmarked against experimental data in order to evaluate the strengths and the limitations of the method. Then\, the computed absorption spectra are presented for newly designed dibenzochrysenes. One of the main results is that the addition of thiophenyl groups at specific positions produces an enhancement of the absorption in the visible region. The information provided in this study can be used as a guide to synthesize optimized materials for solar cells.",,"1668746,1668747,227942,1668748,1668749,1569539,81462,1580787","Nicolas,Roberto,Jing,Giuliano,Giancarlo,Xavier,Jean-Christophe,Gian-Marco","Dardenne,Cardia,Li,Malloci,Cappellini,Blase,Charlier,Rignanese","Nicolas Dardenne,Roberto Cardia,Jing Li,Giuliano Malloci,Giancarlo Cappellini,Xavier Blase,Jean-Christophe Charlier,Gian-Marco Rignanese",2017-10-31,"0.chim,1.chim.theo","1/6\, Place L. Pasteur -1348 Louvain-la-Neuve,Place de l'Université 1 - 1348 Louvain-La-Neuve,Via Università\, 40\, 09124 Cagliari,25 rue des Martyrs - BP 166 38042 GRENOBLE CEDEX 9,271 rue de la Houille BlancheDomaine Universitaire38400 Saint Martin d'Hères",UPR2940,"be,be,it,fr,fr,fr","Institut de la matière condensée et des nanosciences | Institute of Condensed Matter and Nanosciences,Université Catholique de Louvain,Universita degli Studi di Cagliari [Cagliari],Institut Néel,Université Grenoble Alpes [Saint Martin d'Hères],Centre National de la Recherche Scientifique","laboratory,institution,institution,laboratory,institution,institution","IMCN,UCL,NEEL,CNRS",en
hal-01633539,1,https://hal.archives-ouvertes.fr/hal-01633539,UNDEFINED,10.10506,,Sensitive spin detection using an on-chip SQUID-waveguide resonator,"Precise detection of spin resonance is of paramount importance to achieve coherent spin control in quantum computing. We present a novel setup for spin resonance measurements\, which uses a dc-SQUID flux detector coupled to an antenna from a coplanar waveguide. The SQUID and the waveguide are fabricated from 20~nm Nb thin film\, allowing high magnetic field operation with the field applied parallel to the chip. We observe a resonance signal between the first and third excited states of Gd spins $S=7/2$ in a CaWO$_4$ crystal\, relevant for state control in multi-level systems.",,"1663608,40717,1668744,1668745,39068,154894,1525,288680,436911,64244","G.,L.,J.,V.,L.,L.,Z.,P.,S.,I.","Yue,Chen,Barreda,Bevara,Hu,Wu,Wang,Andrei,Bertaina,Chiorescu","G. Yue,L. Chen,J. Barreda,V. Bevara,L. Hu,L. Wu,Z. Wang,P. Andrei,S. Bertaina,I. Chiorescu",2017-11-13,"0.phys,1.phys.cond,2.phys.cond.cm-sce","600 W College Ave\, Tallahassee\, FL 32306,7 Av du colonel Roche 31077 TOULOUSE CEDEX 4,6 allée Émile Monso - BP 34038 - 31029 Toulouse cedex 4,135\, avenue de Rangueil - 31077 Toulouse cedex 4,118 route de Narbonne - 31062 Toulouse,Institut d'Automatique - Académie des Sciences de Chine PO Box 2728 - Beijing 100080 R. P. Chine Tél. : (+ 86 10) 62 64 74 59 Fax : (+ 86 10) 62 64 74 58,42\, rue Scheffer 75116 Paris,Dong Nanhu Road 3888 Changchun Jilin,Domaine de VoluceauRocquencourt - BP 10578153 Le Chesnay Cedex,2 avenue Albert Einstein 69226 Villeurbanne cedex,43\, boulevard du 11 novembre 1918\, 69622 Villeurbanne cedex,Faculté des SciencesAvenue Escadrille Normandie NiemenCase 14213397 Marseille Cedex 20,Aix-Marseille UniversitéJardins du Pharo58 Boulevard Charles Livon13284 Marseille cedex 7,Avenue de l'Université - BP 20132 - 83957 La Garde Cedex,1800 E. Paul Dirac Drive\, Tallahassee\, FL 32310 - 3706","UPR8001,UMR5256,UMR7334,UMR7334,UMR7334","us,fr,fr,fr,fr,fr,fr,cn,fr,fr,cn,fr,cn,fr,fr,fr,fr,fr,fr,fr,fr,fr,us,fr","Florida State University [Tallahassee],Équipe Services et Architectures pour Réseaux Avancés,Laboratoire d'analyse et d'architecture des systèmes [Toulouse],Institut National Polytechnique [Toulouse],Institut National des Sciences Appliquées - Toulouse,Université Paul Sabatier - Toulouse 3,Centre National de la Recherche Scientifique,Eco-informatics,Centre de Coopération Internationale en Recherche Agronomique pour le Développement,Institut National de la Recherche Agronomique,Chinese Academy of Sciences [Changchun Branch],Institut National de Recherche en Informatique et en Automatique,Institute of Automation - Chinese Academy of Sciences,Centre National de la Recherche Scientifique,BIOVERT,Institut de recherches sur la catalyse et l'environnement de Lyon,Université Claude Bernard Lyon 1,Centre National de la Recherche Scientifique,Institut des Matériaux\, de Microélectronique et des Nanosciences de Provence,Aix Marseille Université,Université de Toulon,Centre National de la Recherche Scientifique,National High Magnetic Field Laboratory,FSU","institution,researchteam,laboratory,institution,institution,institution,institution,laboratory,institution,institution,institution,institution,institution,institution,researchteam,laboratory,institution,institution,laboratory,institution,institution,institution,laboratory,institution","FSU,LAAS-SARA,LAAS,INP,INSA Toulouse,UPS,CNRS,LIAMA,CIRAD,INRA,CAS,Inria,CNRS,BIOVERT,IRCELYON,UCBL,CNRS,IM2NP,AMU,UTLN,CNRS,NHMFL",en
hal-01633538,1,https://hal.archives-ouvertes.fr/hal-01633538,ART,10.1063/1.4768251,,Numerical simulations of electrostatic interactions between an atomic force microscopy tip and a dielectric sample in presence of buried nano-particles,,,"357501,596463,173658","R.,C.,C.","Arinero,Riedel,Guasch","R. Arinero,C. Riedel,C. Guasch",2012-12,"0.spi,1.spi.tron","860\, rue Saint Priest\, Bâtiment 5 - CC 05001 -34095 Montpellier Cedex 5,163 rue Auguste Broussonnet - 34090 Montpellier",UMR5214,"fr,fr,fr","Institut d’Electronique et des Systèmes,Université de Montpellier,Centre National de la Recherche Scientifique","laboratory,institution,institution","IES,UM,CNRS",en
hal-01534050,2,https://hal.archives-ouvertes.fr/hal-01534050v2,UNDEFINED,,,Some remarks and experiments on Greenberg's p-rationality conjecture,"The object of this article is to discuss a conjecture of Greenberg and its links to the Galois inverse problem. We show that it is related to well established conjectures in algebraic number theory and that some particular cases are corollaries of known results. Finally\, we do numerical experiments which allow to formulate new conjectures which imply Greenberg's conjecture.","P-rationality,Ray class group,Class number,P-adic regulator","825440,1553951","Razvan,Jishnu","Barbulescu,Ray","Razvan Barbulescu,Jishnu Ray",2017-06-07,0.math,"UPMC - 4 place Jussieu\, Case 247 - 75252 Paris Cedex 5UP7D - Campus des Grands Moulins - Bâtiment Sophie Germain\, Case 7012- 75205 PARIS Cedex 13,4 place Jussieu - 75005 Paris,5 rue Thomas-Mann - 75205 Paris cedex 13,Bâtiment 300 - 91405 Orsay cedex",UMR 7586,"fr,fr,fr,fr,fr,fr","Institut de Mathématiques de Jussieu - Paris Rive Gauche,Université Pierre et Marie Curie - Paris 6,Université Paris Diderot - Paris 7,Centre National de la Recherche Scientifique,Département de Mathématiques-Université de Paris XI,Université Paris-Sud - Paris 11","laboratory,institution,institution,institution,laboratory,institution","IMJ-PRG,UPMC,UPD7,CNRS,UP11",en
hal-01633535,1,https://hal.archives-ouvertes.fr/hal-01633535,ART,10.1021/acssuschemeng.6b02479,,"Toughening of Epoxy/Ionic Liquid Networks with Thermoplastics Based on Poly(2\,6-dimethyl-1\,4-phenylene ether) (PPE)",,,"987918,417127,894057,667063,666371,394534","Thi Khanh Ly,Sébastien,Bluma G.,Hynek,Jean-François,Jannick","Nguyen,Livi,Soares,Benes,Gérard,Duchet-Rumeau","Thi Khanh Ly Nguyen,Sébastien Livi,Bluma G. Soares,Hynek Benes,Jean-François Gérard,Jannick Duchet-Rumeau",2017-01-03,"0.chim,1.chim.poly,0.chim,1.chim.mate","17\, Av. Jean Capelle 69621 Villeurbanne Cedex,43\, boulevard du 11 novembre 1918\, 69622 Villeurbanne cedex,20 Avenue Albert Einstein\, 69621 Villeurbanne cedex,10 rue Tréfilerie - 42100 Saint-Étienne",UMR5223,"fr,fr,fr,fr,fr","Ingénierie des Matériaux Polymères - Site INSA Lyon,Université Claude Bernard Lyon 1,Institut National des Sciences Appliquées de Lyon,Université Jean Monnet [Saint-Étienne],Centre National de la Recherche Scientifique","laboratory,institution,institution,institution,institution","IMP,UCBL,INSA Lyon,UJM,CNRS",en
hal-01633534,1,https://hal.archives-ouvertes.fr/hal-01633534,ART,10.1111/ext.12070,,Taylor's Test Technique for Dynamic Characterization of Materials: Application to Brass,The article reports experiments using the Taylor test to define the dynamic behavior of brass. This material does not exhibit strain rate dependency therefore it allows the validation of an analytical description of flow stress as a function of strain with strain hardening for the data obtained from the Taylor test. The experiment is used to study the process of damage and fracture with fragmentation which is dependent on the impact velocity. Using the experimental data a numerical model of the Taylor test is developed to determine the strain level and the strain gradient along the specimen.,"Dynamic Fracture,Dynamic Behavior,Taylor Test Experiments,Brass","1668680,1534788,155677,415138","R.,T.,A.,P.","Julien,Jankowiak,Rusinek,Wood","R. Julien,T. Jankowiak,A. Rusinek,P. Wood",2013,"0.spi,1.spi.meca,2.spi.meca.mema,0.spi,1.spi.mat","Université de Lorraine - ENIM\, 1 route d'Ars-Laquenexy\, CS 65820\, 57078 Metz Cedex 03,34 cours Léopold - CS 25233 - 54052 Nancy cedex,Pl. M. Skłodowskiej-Curie 5 5 M. Skłodowska-Curie Square 60-965 Poznan,16 Richmond Street\, Glasgow G1 1XQ\, Scotland\, UK",EA4362,"fr,fr,pl,gb","Laboratoire de mécanique Biomécanique Polymère Structures,Université de Lorraine,Poznan University of Technology,University of Strathclyde","laboratory,institution,institution,institution","LaBPS,UL",en
hal-01633533,1,https://hal.archives-ouvertes.fr/hal-01633533,ART,10.1051/epjap/2012120349,,Swift heavy ion-induced silicon dioxide nanostructuration: experimental observation of velocity effect,,,"180966,163442,357501,176208,357516,173660","A.,A.,R.,F.,E.,F.","Touboul,Privat,Arinero,Wrobel,Lorfèvre,Saigné","A. Touboul,A. Privat,R. Arinero,F. Wrobel,E. Lorfèvre,F. Saigné",2012-10,"0.spi,1.spi.tron","33405 TALENCE CEDEX,351 cours de la Libération - 33405 Talence cedex,146\, rue Léo Saignat\, 33076 Bordeaux,860\, rue Saint Priest\, Bâtiment 5 - CC 05001 -34095 Montpellier Cedex 5,163 rue Auguste Broussonnet - 34090 Montpellier,18 avenue Edouard Belin 31401 Toulouse cedex 9","UMR5218,UMR5214","fr,fr,fr,fr,fr,fr,fr,fr","Laboratoire de l'intégration\, du matériau au système,Université Sciences et Technologies - Bordeaux 1,Institut Polytechnique de Bordeaux,Centre National de la Recherche Scientifique,Institut d’Electronique et des Systèmes,Université de Montpellier,Centre National de la Recherche Scientifique,Centre National d'Etudes Spatiales","laboratory,institution,institution,institution,laboratory,institution,institution,institution","IMS,CNRS,IES,UM,CNRS,CNES",en
hal-01633531,1,https://hal-amu.archives-ouvertes.fr/hal-01633531,ART,,,Le personnage farfelu selon Juan Marsé ou Joan Marés le précurseur,,,1668741,Claire,Vialet Martinez,Claire Vialet Martinez,2016,"0.shs,1.shs.litt","Maison de la Recherche - 3ème étage - Campus Schuman ALLSH - Aix Marseille Université29 avenue Robert Schuman13628 Aix en Provence,Aix-Marseille UniversitéJardins du Pharo58 Boulevard Charles Livon13284 Marseille cedex 7",EA854,"fr,fr","Centre Aixois d'Etudes Romanes,Aix Marseille Université","laboratory,institution","CAER,AMU",fr
tel-01633530,1,https://tel.archives-ouvertes.fr/tel-01633530,THESE,,2016TOU30309,"Lésions osseuses par armes blanches : analyse des caractéristiques lésionnelles et détermination du mécanisme de production en macroscopie à épifluorescence,Sharp bone trauma : modeling and determination of the kerf in epifluorescence analysis","L'arme blanche apparaît comme un des instruments le plus fréquemment rencontré en matière judiciaire. Or\, selon le principe de transfert de traces de Locart\, une arme entrant en contact avec un corps laisse une signature lésionnelle. L'analyse des lésions osseuses engendrées devient alors cruciale afin de rechercher tout indice permettant de remonter à l'agent vulnérant utilisé pour commettre le crime voire à l'identité de l'auteur. Ces travaux de thèse se sont attachés à répondre à cette problématique à travers un nouvel outil d'analyse non délabrant pour l'os\, le macroscope à épifluorescence. A travers des études expérimentales et de validation basées majoritairement sur du matériel osseux humain\, nous avons pu déterminer des modèles lésionnels sommant les différentes caractéristiques de chaque instrument et apporter des éléments d'orientation permettant de reconstituer le mécanisme de production de la lésion. L'orientation des écailles\, des fissures et la compression osseuse du sillon apparaissent comme des éléments fondamentaux permettant de reconstituer la manière dont le coup a été porté dans l'espace ainsi que les positions de l'assaillant et de la victime. Il a été également possible de mettre en évidence des signatures diagnostiques individuelles qui\, sous couvert de comparatifs lésionnels\, relie de manière exclusive une lésion à un agent vulnérant. Néanmoins\, face à la demande croissante de fiabilité et de niveau de preuve\, il est devenu nécessaire pour les experts d'apporter une estimation de la validité et du taux d'erreur de leurs observations et conclusions. C'est pourquoi nous avons conduit une étude de validation\, réalisée sur les instruments tranchants. Elle a permis d'estimer la valeur du diagnostic lésionnel anthropologique dans le cadre de telles expertises. Nous avons montré que les valeurs prédictives positives et négatives étaient élevées\, mais étroitement corrélées au degré d'expérience de l'observateur. Un œil expérimenté s'avère indispensable pour aboutir à une expertise fiable. Enfin\, ces différents travaux ont été mis en pratique dans des cas concrets à la fois médico-légaux actuels et archéologiques. Ces applications nous ont permis de confirmer la validité de ce type nouveau d'analyse microscopique avec comme perspective principale l'intégration progressive de cet outil dans des expertises tant contemporaines qu'archéologiques.,Sharp force trauma generated by knives is one of the most common forms of armed violence encountered in judicial procedures. According to Locart's principle of ""transfer of traces""\, a weapon can leave a lesion imprint on the bone. That's why cut mark analyses are important as they allow identification of the weapon class or even the perpetrator of the crime. This thesis addresses this problem by using a new tool that does not alter the bone\, i.e. the epifluorescence macroscope. Through experimental and validation processes using mainly human bones\, we have been able to identify lesion models exemplifying the characteristics per weapon class\, allowing us to model kerfs for each weapon. By the means of fluorescence and comparative analysis\, our study also demonstrates that it is possible to highlight special characteristics identifying the unique blade responsible for the imprints observed on a bone. Moreover\, we demonstrate for the first time microscopic criteria of directionality\, using fluorescence excitation. Orientation of cracks\, flakes\, and lateral pushing back especially help determine the trajectory of the blow as well as the positions of the aggressor and victim. Nevertheless\, scientific evidence is admissible if it is based on a scientific technique accepted as reliable within the scientific community and with judges. The admissibility of expert testimony under this new standard requires an estimation of the validity of the data and proof reliability (the rate of error in observations and conclusions). Our validation study demonstrated a high level of negative and positive predictive value of such diagnoses\, but showed that this is closely linked to the observer's level of experience. A highly-experienced regard is essential for a reliable expertise. Thanks to these studies\, we have had the opportunity to examine forensic and archaeological cases. These applications have confirmed that this technique could provide a useful preliminary tool for nondestructive examination in dismemberment cases\, whether on ancient or contemporary bones.","Epiflurescence,Bone,Sharp weapon,Saw,Legal medicine,Archaeology,Epifluorescence,Os,Instrument tranchant,Scie,Médecine légale,Archéologie",1668740,Caroline,Capuani,Caroline Capuani,2016-09-29,"0.shs,1.shs.anthro-bio",37 allées Jules Guesdes -31073 Toulouse,UMR5288,"fr,fr,fr,fr","Anthropologie Moléculaire et Imagerie de Synthèse,PRES Université de Toulouse,Université de Strasbourg,Centre National de la Recherche Scientifique","laboratory,institution,institution,institution","AMIS,CNRS",fr
hal-01633529,1,https://hal.archives-ouvertes.fr/hal-01633529,ART,10.1016/j.ijadhadh.2016.10.013,,Controlled reduced-strength epoxy-aluminium joints validated by ultrasonic and mechanical measurements,,,"719939,389320,404918,1021469,1303491","Jocelyne,Joseph,Abderrahim,Noëllie,Nicolas","Galy,Moysan,El Mahi,Ylla,Massacret","Jocelyne Galy,Joseph Moysan,Abderrahim El Mahi,Noëllie Ylla,Nicolas Massacret",2017-01,"0.chim,1.chim.poly,0.chim,1.chim.mate","17\, Av. Jean Capelle 69621 Villeurbanne Cedex,43\, boulevard du 11 novembre 1918\, 69622 Villeurbanne cedex,20 Avenue Albert Einstein\, 69621 Villeurbanne cedex,10 rue Tréfilerie - 42100 Saint-Étienne,13625 Aix En Provence,CNRS - UPR 70514 impasse Nikola Tesla13453 Marseille Cedex 13,Pôle de l'étoileTechnopole de Château-Gombert38 rue Frédéric Joliot-Curie13013 Marseille\, France,Aix-Marseille UniversitéJardins du Pharo58 Boulevard Charles Livon13284 Marseille cedex 7,Bât. IAM - UFR Sciences Avenue Olivier Messiaen 72085 LE MANS CEDEX 9,Avenue Olivier Messiaen - 72085 Le Mans cedex 9,Laboratoire de Mécanique et d’AcoustiqueCNRS - UPR 70514 impasse Nikola Tesla13453 Marseille Cedex 13,CNRS - UPR 70514 impasse Nikola Tesla13453 Marseille Cedex 13,Pôle de l'étoileTechnopole de Château-Gombert38 rue Frédéric Joliot-Curie13013 Marseille\, France,Aix-Marseille UniversitéJardins du Pharo58 Boulevard Charles Livon13284 Marseille cedex 7","UMR5223,UPR7051,UPR7051,UPR7051,UMR6613,UPR7051,UPR7051,UPR7051","fr,fr,fr,fr,fr,fr,fr,fr,fr,fr,fr,fr,fr,fr,fr,fr,fr,fr","Ingénierie des Matériaux Polymères - Site INSA Lyon,Université Claude Bernard Lyon 1,Institut National des Sciences Appliquées de Lyon,Université Jean Monnet [Saint-Étienne],Centre National de la Recherche Scientifique,Laboratoire de Caractérisation Non Destructive [Aix en Provence],Laboratoire de Mécanique et d'Acoustique [Marseille],Ecole Centrale de Marseille,Aix Marseille Université,Centre National de la Recherche Scientifique,Laboratoire d'acoustique de l'université du Mans,Le Mans Université,Centre National de la Recherche Scientifique,Ondes et Imagerie,Laboratoire de Mécanique et d'Acoustique [Marseille],Ecole Centrale de Marseille,Aix Marseille Université,Centre National de la Recherche Scientifique","laboratory,institution,institution,institution,institution,researchteam,laboratory,institution,institution,institution,laboratory,institution,institution,researchteam,laboratory,institution,institution,institution","IMP,UCBL,INSA Lyon,UJM,CNRS,LCND,LMA,ECM,AMU,CNRS,LAUM,UM,CNRS,O&I,LMA,ECM,AMU,CNRS",en
hal-01633528,1,https://hal.archives-ouvertes.fr/hal-01633528,ART,10.1007/s13204-012-0126-4,,Conductive atomic force microscopy as a tool to reveal high ionising dose effects on ultra thin SiO2/Si structures,,,"50699,1524829,173659,173658,1667672,355526,173660","Richard,A. d.,M.,C.,Y.,J.,F.","Arinero,Touboul,Ramonda,Guasch,Gonzalez-Velo,Boch,Saigné","Richard Arinero,A. D. Touboul,M. Ramonda,C. Guasch,Y. Gonzalez-Velo,J. Boch,F. Saigné",2013-06,"0.spi,1.spi.tron","860\, rue Saint Priest\, Bâtiment 5 - CC 05001 -34095 Montpellier Cedex 5,163 rue Auguste Broussonnet - 34090 Montpellier,Place Eugène Bataillon - 34095 Montpellier cedex 5",UMR5214,"fr,fr,fr,fr,fr","Institut d’Electronique et des Systèmes,Université de Montpellier,Centre National de la Recherche Scientifique,Laboratoire de Microscopie en Champ Proche - LMCP (Montpellier\, France),Université Montpellier 2 - Sciences et Techniques","laboratory,institution,institution,laboratory,institution","IES,UM,CNRS,UM2",en
tel-01633527,1,https://tel.archives-ouvertes.fr/tel-01633527,THESE,,2017PA066137,"Jonctions tunnel magnétiques avec des monocouches moléculaires auto-assemblées,Magnetic tunnel junctions based on self-assembled monolayers","Le sujet de cette thèse concerne la spintronique moléculaire. Des jonctions tunnel magnétiques formées par une barrière tunnel moléculaire (monocouche auto-assemblée) insérée entre deux électrodes métalliques ferromagnétiques ont été étudiées. Afin de fabriquer les dispositifs\, un procédé de greffage des molécules sur des substrats ferromagnétiques a été mis en place et une technique de lithographie a été développée pour définir des jonctions de taille submicronique. L’ensemble de ce travail expérimental a permis l’obtention de jonctions non court-circuitées et mesurables\, où le transport électronique est bien du transport par effet tunnel.Les mesures de magnétotransport de ces échantillons ont amené des résultats intéressants et nouveaux : les jonctions\, dont la barrière est formée par des alcanes-thiols\, présentent de la magnétorésistance à température ambiante\, allant jusqu’à 12%. Une partie de la thèse s’attelle à la compréhension des différents comportements magnétorésistifs observés : un modèle de barrière tunnel à deux niveaux est proposé pour les décrire.La dernière partie du travail présente des résultats préliminaires obtenus lorsque la barrière moléculaire est formée par des molécules aromatiques ou commutables et met en évidence des phénomènes nouveaux par rapport au cas précédent.L’ensemble des résultats prouve le fonctionnement de jonctions tunnel magnétiques à base de monocouches moléculaires à température ambiante et ouvre la voie à l’utilisation de molécules plus complexes pour une électronique de spin moléculaire multifonctionnelle.,This thesis work enters within the molecular spintronic fields. Magnetic tunnel junctions based on molecular self assembled monolayers have been investigated. The devices structure is a molecular monolayer inserted between two ferromagnetic electrodes.A process to graft molecules on a ferromagnet’s surface and a lithography technique have been developed to define the junctions. This experimental work has led to non short-circuited and measurable junctions\, in which an electronic tunnel transport has been demonstrated.Interesting and new results have been found out from magnetoresistance measurement of the samples: junctions made with alkanes-thiols barrier have shown magnetoresistance signal at room temperature (up to 12%). In order to explain the magnetoresistive behaviour\, a simple model where the barrier is discribed by two levels has been proposed.The last part of the thesis reports preliminary results obtained when the barrier is made of aromatic molecules or switchable molecules and it points out new phenomenons compared to the alkanes case.The overall work proves that devices made from magnetic tunnel junctions with self-assembled monolayers work at room temperature. It is then possible to consider switchable molecules to build multifunctional molecular spintronics devices.","Spintronic,Self assembled monolayers,Tunnel junctions,Spintronique,Monocouches moléculaires,Thiols,Jonctions tunnel,Nanofabrication,Magnétorésistance",1351051,Sophie,Delprat,Sophie Delprat,2017-06-30,"0.phys,1.phys.phys,2.phys.phys.phys-chem-ph",Domaine de Corbeville 91404 ORSAY CEDEX,UMR137,"fr,fr,fr","Unité mixte de physique CNRS|Thalès,THALES,Centre National de la Recherche Scientifique","laboratory,institution,institution","UMP CNRS/THALES,CNRS",fr
hal-01633526,1,https://hal-univ-lyon3.archives-ouvertes.fr/hal-01633526,ART,,,L'activation du potentiel humain comme apport fédérateur des projets de redressement d'une entreprise en difficulté : cas d'une entreprise de traitement de poissons,,,1097443,Miguel,Delattre,Miguel Delattre,2001,"0.shs,1.shs.gestion","15 Chemin du Petit-Bois - 69134 Écully cedex,IAE Lyon - Université Jean Moulin Lyon 3 6 Cours Albert Thomas BP 8242 69355 Lyon cedex 08,Cours Albert Thomas 69008 Lyon",EA3713,"fr,fr,fr,fr,fr","Institut de Socio-économie des Entreprises et des ORganisations,Institut de socio-économie des entreprises et des organisations,Centre de Recherche Magellan,Université Jean Moulin - Lyon III,Institut d'Administration des Entreprises (IAE) - Lyon","laboratory,institution,laboratory,institution,institution",ISEOR,fr
