halId_s,version_i,uri_s,docType_s,nntId_s,title_s,authFullName_s,producedDate_s,domain_s,page_s,country_s,language_s,licence_s
hal-01178273,1,https://hal.archives-ouvertes.fr/hal-01178273,COMM,,Study of animal behavior and welfare of miniature pigs in France,"Marie-Christine Salaun,David Val-Laillet",2013-10-22,"0.scco,1.scco.neur",np,tw,en,
hal-00684300,1,https://hal.archives-ouvertes.fr/hal-00684300,ART,,Criminalizing protests about animal abuse. Recent Irish experience in global context,Roger Yates,2011-04-01,,469-482,,en,
inserm-00834468,1,http://www.hal.inserm.fr/inserm-00834468,ART,,Physiological and Nutritional Roles of PPAR across Species.,"Massimo Bionaz,Gary Hausman,Juan Loor,Stéphane Mandard",2013,"0.sdv,1.sdv.bbm,0.sdv,1.sdv.mhep,2.sdv.mhep.em,0.sdv,1.sdv.mhep,2.sdv.mhep.phy",807156,,en,
hal-00577583,1,https://hal.archives-ouvertes.fr/hal-00577583,ART,,The distribution and elimination of fumonisin analogues in weaned piglets after oral administration of Fusarium verticillioides fungal culture,"Judit Fodor,Karsten Meyer,Margit Riedlberger,Johann Michael Bauer,Peter Horn,Ferenc Kovacs,Melinda Kovacs",2006-04-12,,492-501,,en,
hal-00501527,1,https://hal.archives-ouvertes.fr/hal-00501527,ART,,The role of host PrP in Transmissible Spongiform Encephalopathies,"Enrico Cancellotti,Rona M. Barron,Matthew T. Bishop,Patricia Hart,Frances Wiseman,Jean C. Manson",2007-06-08,,673,,en,
hal-00501526,1,https://hal.archives-ouvertes.fr/hal-00501526,ART,,Amino acid sequence and prion strain specific effects on the in vitro and in vivo convertibility of ovine/murine and bovine/murine prion protein chimeras,"Leila Kupfer,Martin Eiden,Anne Buschmann,Martin H. Groschup",2007-06-08,,704,,en,
tel-00545424,1,https://tel.archives-ouvertes.fr/tel-00545424,THESE,2010ECAP0028,"Recalage de flux de données cinématiques pour l'application à l'imagerie optique,Multi-modal Fusion of Cinematic Flow and Optical Imaging : contributions and applications to small animal imaging.",Mickaël Savinaud,2010-10-08,"0.spi,1.spi.other",,,fr,
tel-00937248,1,https://tel.archives-ouvertes.fr/tel-00937248,THESE,2013BOR30012,"Les animalités de l’art : modalités et enjeux de la figure animale contemporaine et actuelle,The animalities of art : forms and challenges of the contemporary and current animal figure",Laure Joyeux,2013-07-04,"0.shs,1.shs.art",,,fr,
hal-00657592,1,https://hal.archives-ouvertes.fr/hal-00657592,ART,,"Muscle fat composition of pheasants (\, wild ducks () and black coots ()","Karin Nuernberg,Jaroslav Slamecka,Jozef Mojto,Jozef Gasparik,Gerd Nuernberg",2011-01-07,,795-803,,en,
hal-00540152,1,https://hal.archives-ouvertes.fr/hal-00540152,ART,,Prevalence and genotyping of Trichomonas gallinae in pigeons and birds of prey in eastern Spain.,"Jose Sansano,María Magdalena Garijo-Toledo,María Teresa Gómez-Muñoz",2009-05-29,,201-207,,en,
hal-00889939,1,https://hal.archives-ouvertes.fr/hal-00889939,ART,,Modelling the performance of the beef cow to build a herd functioning simulator,"Jacques Agabriel,Stéphane Ingrand",2004,"0.sdv,1.sdv.sa,2.sdv.sa.zoo",347-361,,en,
hal-00745613,1,https://hal.archives-ouvertes.fr/hal-00745613,ART,,Chemical composition and biological value of spray dried porcine blood by-products and bone protein hydrolysate for young chickens,"Dorota Jamroz,Andrzej Wiliczkiewicz,Janusz Orda,Jolanta Skorupińska,Maja Słupczyńska,Jan Kuryszko",2011-10-26,"0.sdv,1.sdv.ba",589-605,,en,
hal-00572014,1,https://hal.archives-ouvertes.fr/hal-00572014,ART,,Transspecies urban theory: chickens in an African city,Alice Hovorka,2008-01-01,,95-117,,en,
hal-00900567,1,https://hal.archives-ouvertes.fr/hal-00900567,ART,,Relations between animal transgenesis and reproduction,Louis-Marie Houdebine,2005,"0.sdv,1.sdv.bdlr,0.sdv,1.sdv.aen,0.sdv,1.sdv.bdd",363-376,,en,
halshs-01569469,1,https://halshs.archives-ouvertes.fr/halshs-01569469,ART,,"La mort de l’animal dans l’imaginaire catholique (France\, XVIIe-XXe siècles)",Eric Baratay,1995,"0.shs,1.shs.hist",453-476,,fr,
tel-01252136,1,https://tel.archives-ouvertes.fr/tel-01252136,THESE,2014TOU20110,"Éduquer au bien-être animal en formation professionnelle : prise en compte de l'empathie interspécifique par le système éducatif,Educate animal welfare in vocational training : taking account of interspecies empathy in the educational system",Michel Vidal,2014-12-08,"0.shs,1.shs.edu",,,fr,
hal-01518565,1,https://hal.archives-ouvertes.fr/hal-01518565,REPORT,,"Déjections animales et environnement (le cas de la Bretagne),Intensive animal husbandry and management of animal manure : the French case study (Anglais)",Pierre Rainelli,1987,"0.shs,1.shs.eco",43 p.,,fr,http://creativecommons.org/licenses/by-nc-nd/
hal-00577365,1,https://hal.archives-ouvertes.fr/hal-00577365,ART,,Transfer of chemicals from feed to animal products; the use of transfer factors in risk assessment.,"Winfried R Leeman,Kor Van den Berg,Geert Houben",2007-01-01,,1-13,,en,
hal-00577526,1,https://hal.archives-ouvertes.fr/hal-00577526,ART,,In vitro microbial metabolism of fumonisin B1,"Judit Fodor,Karsten Meyer,Christoph Gottschalk,Rene Mamet,Laszlo Kametler,Johann Michael Bauer,Peter Horn,Ferenc Kovacs,Melinda Kovacs",2007-03-30,,416-420,,en,
hal-01190375,1,https://hal.archives-ouvertes.fr/hal-01190375,ART,,Animal welfare: A result of animal background and perception of its environment,"Isabelle Veissier,Arnaud Aubert,Alain Boissy",2012,"0.sdv,1.sdv.sa",7-15,,en,
halshs-01590523,1,https://halshs.archives-ouvertes.fr/halshs-01590523,ART,,L'animal et les enjeux historiques et contemporains de l'aménagement de l'espace montagnard dans les Pyrénées occidentales,Bruno Charlier,1998,"0.shs,1.shs.geo,0.shs,1.shs.envir",47-54,,fr,
halshs-00067720,1,https://halshs.archives-ouvertes.fr/halshs-00067720,COMM,,"L'âne\, ce mal aimé",Catherine Baroin,1999,"0.shs,1.shs.anthro-se",277-298,fr,fr,
hal-00732528,1,https://hal.archives-ouvertes.fr/hal-00732528,ART,,Effect of inulin and oligofructose on performance and bone characteristics of broiler chickens fed diets with different levels of calcium and phosphorus,"Sylwester Swiatkiewicz,Jerzy Koreleski,Anna Arczewska",2011-09-15,"0.sdv,1.sdv.ba",483-491,,en,
hal-00671644,1,https://hal.archives-ouvertes.fr/hal-00671644,ART,,High-fibre sunflower cake affects small intestinal digestion and health in broiler chickens,"Robin Kalmendal,Klas Elwinger,Lena Holm,Ragnar Tauson",2011-02-18,"0.sdv,1.sdv.ba",86-96,,en,
hal-00545325,1,https://hal.archives-ouvertes.fr/hal-00545325,ART,,Comparison of three different diets for organic broilers: effects on performance and body condition,"Bas Rodenburg,Jan Van Harn,Marinus Krimpen,Marko Ruis,Izak Vermeij,Hans Spoolder",2008-01-21,,74-80,,en,
hal-00540098,1,https://hal.archives-ouvertes.fr/hal-00540098,ART,,"Correlation of MDV vaccine virus genome load in feather tips with protection\, using an experimental challenge model","Sue Baigent,Lorraine Smith,Richard Currie,Venugopal Nair",2007-11-09,,467-474,,en,
hal-00755785,1,https://hal.archives-ouvertes.fr/hal-00755785,ART,,Mycoplasma gallisepticum in pheasants and the efficacy of tylvalosin to treat the disease,"John B Tasker,C Anne Forrester,Janet M Bradbury,Cynthia M Dare,Rickie J Domangue,Helena Windsor,A P Adrian Mockett",2011-11-22,"0.sdv,1.sdv.ba",581-586,,en,
hal-00657570,1,https://hal.archives-ouvertes.fr/hal-00657570,ART,,Lack of evidence of paratuberculosis in wild canids from Southwestern Europe,"Raquel Sobrino,O. Aurtenetxe,Tania Carta,L. Mamian,X. Gerrikagoitia,A. Balseiro,A. Oleaga,I. A. Sevilla,M. Barral,J. M. Garrido,Christian Gortazar",2011-01-07,,683-688,,en,
hal-00694278,1,https://hal.archives-ouvertes.fr/hal-00694278,ART,,"Fit\, efficiency\, and biology: Some thoughts on judging food web models","Owen L. Petchey,Andrew P. Beckerman,Jens O. Riede,Philip H. Warren",2011-05-04,0.sdv,,,en,
hal-01055398,1,https://hal.inria.fr/hal-01055398,COMM,,Research of Animal Disease Information System Based on GIS Technology,"Hongbin Wang,Lin Li,Jing Dong,Danning Xu,Jing Li",2009-10-14,"0.info,1.info.info-dl",55-59,cn,en,http://creativecommons.org/licenses/by/
hal-00165845,1,https://hal.archives-ouvertes.fr/hal-00165845,ART,,EFFICACY OF GENTAMICIN AFTER INTRA YOLK ADMINISTRATION IN EXPERIMENTALLY INDUCED OMPHALITIS IN BROILER CHICKS,"Muhammad Ashraf,Qamar Arif,Kashif Aziz Khan",2002-10,"0.sdv,1.sdv.ba,2.sdv.ba.mvsa",197-198,,en,
hal-00902848,1,https://hal.archives-ouvertes.fr/hal-00902848,ART,,Animal models for human Metapneumovirus (HMPV) infections,"Oliver Schildgen,Arne Simon,John Williams",2007,"0.sdv,1.sdv.bbm,2.sdv.bbm.bm,0.sdv,1.sdv.gen,2.sdv.gen.ga,0.sdv,1.sdv.bc,0.sdv,1.sdv.bc,2.sdv.bc.ic,0.sdv,1.sdv.mp,0.sdv,1.sdv.imm,0.sdv,1.sdv.neu,0.sdv,1.sdv.spee,0.sdv,1.sdv.ba",117-126,,en,
hal-00570851,1,https://hal.archives-ouvertes.fr/hal-00570851,ART,,Animal magnetism in Spanish medicine (1786–1860),Ángel González de Pablo,2006-09-01,,279-298,,en,
halshs-00352040,1,https://halshs.archives-ouvertes.fr/halshs-00352040,ART,,"La girafe\, belle inconnue des bibles médiévales. Camelopardalis : un animal philologique",Thierry Buquet,2008,"0.shs,1.shs.hist",47-68,,fr,
tel-00671158,2,https://tel.archives-ouvertes.fr/tel-00671158v2,THESE,2011STET2149,"L'animal thérapeute"". : Socio-anthropologie de l'émergence du soin par le contact animalier,« Animals as Therapists. » : Socio-anthropological approach of ·the Emergence of Animals in Care Practices.",Jérôme Michalon,2011-09-15,"0.shs,1.shs.socio",,,fr,
hal-01559567,1,https://hal.inria.fr/hal-01559567,COMM,,A Halal and Quality Attributes Driven Animal Products Formal Producing System Based on HQESPNM,"Qiang Han,Wenxing Bao",2010-10-22,0.info,48-55,cn,en,http://creativecommons.org/licenses/by/
hal-01234735,1,https://hal.archives-ouvertes.fr/hal-01234735,ART,,Interaction networks in a Brazilian cerrado: what changes when you add palynological information to floral visitor data?,"Maria Vianna,Cynthia Luz,Astrid Matos Peixoto Kleinert",2014,"0.sdv,1.sdv.ba,2.sdv.ba.zi,0.sdv,1.sdv.bid,0.sdv,1.sdv.ee,0.sdv,1.sdv.sa,2.sdv.sa.spa",418-430,,en,
hal-00697239,1,https://hal.archives-ouvertes.fr/hal-00697239,ART,,An optimized hair trap for non-invasive genetic studies of small cryptic mammals,"Tobias Erik Reiners,Jorge A. Encarnação,Volkmar Wolters",2011-05-15,"0.sdv,1.sdv.ba",991-995,,en,
hal-00686679,1,https://hal.archives-ouvertes.fr/hal-00686679,ART,,Reducing stress during welfare inspection - Validation of a non-intrusive version of the laywel plumage scoring system for laying hens,"Joergen Kjaer,Henrike Glawatz,Britta Scholz,Sophie Rettenbacher,Ragnar Tauson",2011-04-11,"0.sdv,1.sdv.ba",149-154,,en,
hal-00638523,1,https://hal.archives-ouvertes.fr/hal-00638523,ART,,Carcass characteristics and qualitative meat traits of three Italian local chicken breeds,"Enrico Zanetti,Massimo De Marchi,Chiara Dalvit,Caroline Molette,Herve Remignon,Martino Cassandro",2010-11-05,,629-634,,en,
hal-00687738,1,https://hal.archives-ouvertes.fr/hal-00687738,ART,,RSPCA and the criminology of social control,"Gordon Hughes,Claire Lawson",2011-04-14,,375-389,,en,
hal-00551934,1,https://hal.archives-ouvertes.fr/hal-00551934,ART,,Relationship between Iberian ibex () sperm quality and level of parasitism,"Julian Santiago-Moreno,Monica Luzón,Miguel Angel Coloma,Antonio Pulido-Pastor,Félix Gómez-Guillamón,Ricardo Salas Vega,Adolfo Toledano-Díaz,Antonio López-Sebastián",2010-01-05,,605-611,,en,
pasteur-00379880,1,https://hal-pasteur.archives-ouvertes.fr/pasteur-00379880,ART,,"Highly pathogenic avian influenza virus (H5N1) outbreak in captive wild birds and cats\, Cambodia.","Stéphanie Desvaux,Nick Marx,Sivuth Ong,Nicolas Gaidet,Matt Hunt,Jean Claude Manuguerra,San Sorn,Malik Peiris,Sylvie Van Der Werf,Jean Marc Reynes",2009-03,"0.sdv,1.sdv.mhep,2.sdv.mhep.mi,0.sdv,1.sdv.spee",475-8,,en,
tel-00779806,1,https://tel.archives-ouvertes.fr/tel-00779806,THESE,2011ORLE2072,"Analyses d'images de tomographie X chez le petit animal : applications aux études de phénotypage ex vivo et in vivo,Analysis of small animal X-Ray tomographic imaging : application for phenotypical analysis in mice ex vivo and in vivo",Arnaud Marchadier,2011-12-13,"0.sdv,1.sdv.mhep",,,fr,
tel-00766796,1,https://tel.archives-ouvertes.fr/tel-00766796,THESE,2012CLF22245,"Atteintes au bien-être des vaches laitières : étude épidémiologique,Welfare problems in dairy cows : an epidemiological approach",Alice De Boyer Des Roches,2012-06-19,"0.sdv,1.sdv.sa",,,fr,
medihal-00694360,1,https://medihal.archives-ouvertes.fr/medihal-00694360,IMG,,"Argentine : Province de Chaco : Ville de Resistencia : Quartier de Barrenqueras : Quartier périphérique en cours de consolidation\, dans une zone inondable\, construction précaire. Présence de charrettes et d'animal de trait.",Romain Gaignard,1960,"0.shs,1.shs.geo",,ar,und,http://creativecommons.org/licenses/by-nc-sa/
medihal-00694355,1,https://medihal.archives-ouvertes.fr/medihal-00694355,IMG,,"Argentine : Province de Chaco : Ville de Resistencia : Quartier de Barrenqueras : Quartier périphérique en cours de consolidation\, construction précaire. Présence de charrettes et d'animal de trait.",Romain Gaignard,1960,"0.shs,1.shs.geo",,ar,und,http://creativecommons.org/licenses/by-nc-sa/
medihal-01011878,1,https://medihal.archives-ouvertes.fr/medihal-01011878,IMG,,Río Verde : Tête d'animal en Céramique creuse,Dominique Michelet,1976-06-21,"0.shs,1.shs.archeo",,mx,und,http://creativecommons.org/licenses/by-nc-nd/
hal-00687016,1,https://hal.archives-ouvertes.fr/hal-00687016,ART,,A simple mathematical model of the bovine estrous cycle: Follicle development and endocrine interactions,"H.M.T. Boer,C. Stötzel,S. Röblitz,P. Deuflhard,R.F. Veerkamp,H. Woelders",2011-04-12,0.sdv,20,,en,
hal-00777279,1,https://hal.archives-ouvertes.fr/hal-00777279,ART,,Animal detection precedes access to scene category.,"Sébastien M Crouzet,Olivier R Joubert,Simon J Thorpe,Michèle Fabre-Thorpe",2012,"0.sdv,1.sdv.neu",e51471,,en,
hal-01595321,1,https://hal.archives-ouvertes.fr/hal-01595321,ART,,Ecoalim: a dataset of environmental impacts of feed ingredients used in french animal production,"Aurélie Wilfart,Sandrine Espagnol,Sylvie Dauguet,Aurélie Tailleur,Armelle Gac,Florence Garcia-Launay",2016,"0.sde,1.sde.es,0.sdv,1.sdv.ot",e0167343,,en,
hal-00545319,1,https://hal.archives-ouvertes.fr/hal-00545319,ART,,"EFFECT OF FEEDING SILAGES OR CARROTS AS SUPPLEMENTS TO LAYING HENS ON PRODUCTION PERFORMANCE\, NUTRIENT DIGESTIBILITY\, GUT STRUCTURE\, GUT MICROFLORA AND FEATHER PECKING BEHAVIOUR","Sanna Steenfeldt,Joergen Kjaer,Ricarda Margarete Engberg",2007-09-10,,454-468,,en,
hal-00624464,1,https://hal.archives-ouvertes.fr/hal-00624464,ART,,Occurrence of verocytotoxin-producing in the faeces of free-ranging wild lagomorphs in southwest Spain,"Remigio Martínez,Alfredo García,Jesús E. Blanco,Jorge Blanco,Joaquín Rey,Juan M. Alonso,Luis Gómez,Sergio Sánchez",2010-09-18,,187-189,,en,
hal-00603552,1,https://hal.archives-ouvertes.fr/hal-00603552,ART,,Potential impact of diseases transmissible by sperm on the establishment of Iberian ibex () genome resource banks,"Julian Santiago-Moreno,Ana Carvajal,Rafael J. Astorga,Miguel A. Coloma,Adolfo Toledano-Díaz,Felix Gómez-Guillamon,Ricardo Salas-Vega,Antonio López-Sebastián",2010-06-26,,211-216,,en,
hal-01426952,1,http://hal.upmc.fr/hal-01426952,ART,,Human preferences for species conservation: Animal charisma trumps endangered status,"Agathe Colléony,Susan Clayton,Denis Couvet,Michel Saint Jalme,Anne-Caroline Prévot",2016,"0.sde,1.sde.be",,,en,
hal-01425796,1,https://hal.archives-ouvertes.fr/hal-01425796,ART,,Standardising the assessment of environmental enrichment and tail-docking legal requirements for finishing pigs in Europe,"B. Hothersal,L. Whistance,Z. Zedlacher,B. Algers,E. Andersson,M. Bracke,Valérie Courboulay,P. Ferrari,Christine Leeb,S. Mullan,J. Nowicki,Marie-Christine Salaun,T. Schwarz,L. Stadig,D. Main",2016,0.sdv,499-509,,en,
hal-01505216,1,https://hal.univ-lorraine.fr/hal-01505216,ART,,Occurrence of and Sequence Variation among F-Specific RNA Bacteriophage Subgroups in Feces and Wastewater of Urban and Animal Origins,"C. Hartard,R. Rivet,S. Banas,C. Gantzer",2015-09,"0.chim,0.sde,1.sde.ie,0.sdv,1.sdv.mp,2.sdv.mp.vir",6505-6515,,en,
tel-00683219,1,https://tel.archives-ouvertes.fr/tel-00683219,THESE,,"Le lien à l'animal permet-il une récupération sociale et cognitive chez l'enfant avec autisme?,Could the bond to an animal allow social and cognitive recovery in children with autism?",Marine Grandgeorge,2010-11-22,"0.shs,1.shs.psy,0.sdv,1.sdv.neu,2.sdv.neu.pc",,,fr,
hal-01595681,1,https://hal.archives-ouvertes.fr/hal-01595681,COMM,,Improved efficiency in temperate grass based dairy systems,"Luc Delaby,Brendan Horan",2017-07-24,0.sdv,np,br,en,
hal-01557837,1,https://hal.inria.fr/hal-01557837,COMM,,Aquatic Animal Disease Diagnosis System Based on Android,"Min Sun,Daoliang Li",2015-09-27,0.info,115-124,cn,en,http://creativecommons.org/licenses/by/
hal-00522560,1,https://hal.archives-ouvertes.fr/hal-00522560,ART,,Disconnection of the entorhinal cortex and the dorsomedial striatum impairs the sensitivity to instrumental contingency degradation,"Bjoern Lex,Wolfgang Hauber",2010-03-31,,,,en,
halshs-00624438,1,https://halshs.archives-ouvertes.fr/halshs-00624438,COMM,,L'Église et la théorie de l'animal-machine aux XVIIe-XVIIIe siècle,Eric Baratay,1986,"0.shs,1.shs.hist,0.shs,1.shs.phil,0.shs,1.shs.relig",3-9,fr,fr,
halshs-00459872,1,https://halshs.archives-ouvertes.fr/halshs-00459872,ART,,"Porc et sanglier en Gaule septentrionale\, entre archéozoologie et imaginaire collectif",Patrice Méniel,2006,"0.shs,1.shs.archeo",463-468,,fr,
hal-00577584,1,https://hal.archives-ouvertes.fr/hal-00577584,ART,,Validation and application of a robust yeast estrogen bioassay for the screening of estrogenic activity in animal feed,"Toine Frank Henk Bovee,Gerrit Bor,Henri Heskamp,Ron Laurentius Hoogenboom,Michel Nielen",2006-09-14,,556-568,,en,
hal-00577531,1,https://hal.archives-ouvertes.fr/hal-00577531,ART,,Investigation of palladium and platinum contamination in food by means of Sector Field Inductively Coupled Plasma Mass Spectrometry,"Sergio Caroli,Chiara Frazzoli,Roberta Cammarone",2007-05-08,,546-552,,en,
hal-00903173,1,https://hal.archives-ouvertes.fr/hal-00903173,ART,,Zoonotic hepatitis E: animal reservoirs and emerging risks,"Nicole Pavio,Xiang-Jin Meng,Christophe Renou",2010,"0.sdv,1.sdv.bbm,2.sdv.bbm.bm,0.sdv,1.sdv.gen,2.sdv.gen.ga,0.sdv,1.sdv.bc,0.sdv,1.sdv.bc,2.sdv.bc.ic,0.sdv,1.sdv.mp,0.sdv,1.sdv.imm,0.sdv,1.sdv.neu,0.sdv,1.sdv.spee,0.sdv,1.sdv.ba",,,en,
inserm-01435609,1,http://www.hal.inserm.fr/inserm-01435609,ART,,Animal extrapolation in preclinical studies: An analysis of the tragic case of TGN1412,Mael Lemoine,2017,"0.sdv,1.sdv.can,0.sdv,1.sdv.imm,0.sdv,1.sdv.tox,0.sdv,1.sdv.mhep,2.sdv.mhep.hem",35-45,,en,
halshs-01585501,1,https://halshs.archives-ouvertes.fr/halshs-01585501,ART,,"Le taurillon exclu du sacrifice (Clère\, Porte d’Évergète\, pl. 40)",Françoise Labrique,2014,"0.shs,1.shs.hist",64-70,,fr,
hal-00691787,1,https://hal.archives-ouvertes.fr/hal-00691787,ART,,On a characterization of variance and covariance,Norbert Poschadel,2010-10-27,"0.info,1.info.info-bi,0.sdv,1.sdv.bibs",,,en,
hal-00554617,1,https://hal.archives-ouvertes.fr/hal-00554617,ART,,The dynamics of sexually antagonistic coevolution and the complex influences of mating system and genetic correlation,"Roger Härdling,Kristina Karlsson",2009-08-25,,276,,en,
hal-01191249,1,https://hal.archives-ouvertes.fr/hal-01191249,ART,,Pharmacokinetics and pharmacodynamics of stereoisomeric drugs with particular reference to bioequivalence determination,"Peter Lees,Robert Hunter,Phil Reeves,Pierre-Louis Toutain",2012,0.sdv,17-30,,en,
hal-00583197,1,https://hal.archives-ouvertes.fr/hal-00583197,ART,,A(H5N1) Virus Evolution in South East Asia,"Ramona Gutiérrez,Monica Naughtin,Srey Viseth Horm,Sorn San,Philippe Buchy",2009-10-06,"0.sdv,1.sdv.mp,2.sdv.mp.vir",335-361,,en,
anses-01346591,1,https://hal-anses.archives-ouvertes.fr/anses-01346591,ART,,"Experience in developing generic guidelines for method validation applicable in the areas of animal health\, plant health\, and food safety",Michel Laurentie,2016-06-01,"0.math,1.math.math-st,0.sdv,1.sdv.ba",42-47,,en,
hal-00180738,1,https://hal.archives-ouvertes.fr/hal-00180738,ART,,STRESS MANAGEMENT FOLLOWING VACCINATION AGAINST COCCIDIOSIS IN BROILERS,"Asghar Ali,Asim Aslam,Shakil Akhtar Khan,Haji Ahmad Hashmi,Kashif Aziz Khan",2002,"0.sdv,1.sdv.ba,2.sdv.ba.mvsa",192-196,,en,
hal-00577293,1,https://hal.archives-ouvertes.fr/hal-00577293,ART,,Ochratoxin A in licorice as affected by processing methods,"Agustin AriÑo,Marta Herrera,Eloisa Langa,Javier Raso,Antonio Herrera",2007-08-09,,987-992,,en,
hal-01055402,1,https://hal.inria.fr/hal-01055402,COMM,,Animal Disease Diagnoses Expert System Based on SVM,"Long Wan,Wenxing Bao",2009-10-14,"0.info,1.info.info-dl",539-545,cn,en,http://creativecommons.org/licenses/by/
hal-01055399,1,https://hal.inria.fr/hal-01055399,COMM,,A Network-Based Management Information System for Animal Husbandry in Farms,"Jing Han,Xi Wang",2009-10-14,"0.info,1.info.info-dl",49-54,cn,en,http://creativecommons.org/licenses/by/
hal-00640458,1,https://hal.archives-ouvertes.fr/hal-00640458,ART,,Fast filtration for metabolome sampling of suspended animal cells,"Martin Volmer,Stefan Northoff,Sebastian Scholz,Tobias Thüte,Heino Büntemeyer,Thomas Noll",2010-11-12,,495-502,,en,
hal-00711299,1,https://hal.archives-ouvertes.fr/hal-00711299,ART,,Effects of caponization on lipid and fatty acid composition of intramuscular and abdominal fat of medium-growth broilers,"Vasileia J Sinanoglou,Fotios Mantis,Sofia Miniadis-Meimaroglou,George K Symeon,Iosif A Bizelis",2011-06-23,"0.sdv,1.sdv.ba",310-317,,en,
hal-00694614,1,https://hal.archives-ouvertes.fr/hal-00694614,ART,,Toward the definition of a criterion to suspect thiouracil administration in animal husbandry,"Bruno Le Bizec,Emmanuelle Bichon,Yoann Deceuninck,Stéphanie Prévost,Fabrice Monteau,Jean-Philippe Antignac,Gaud Dervilly-Pinel",2011-05-05,,,,en,
hal-00683503,1,https://hal.archives-ouvertes.fr/hal-00683503,ART,,Novel group A rotavirus G8 P[1] as primary cause of an ovine diarrheic syndrome outbreak in weaned lambs,"I. Galindo-Cardiel,M. Fernández-Jiménez,L. Luján,J. Buesa,J. Espada,E. Fantova,J. Blanco,J. Segalés,J.J. Badiola",2011-03-29,"0.sdv,1.sdv.ba,2.sdv.ba.mvsa",467,,en,
hal-00485529,1,https://hal.archives-ouvertes.fr/hal-00485529,ART,,Anti-HEV antibodies in domestic animal species and rodents from Spain using a genotype 3-based ELISA,"Bibiana Peralta,Maribel Casas,Nilsa De Deus,Marga Martín,Anna Ortuño,Eva Pérez-Martín,Sonia Pina,Enric Mateu",2009-05-04,,66,,en,
hal-00531824,1,https://hal.archives-ouvertes.fr/hal-00531824,ART,,Genetic characterization of G3 rotaviruses detected in Italian children in the years 1993-2005,"Simona De Grazia,Vito Martella,Claudia Colomba,Antonio Cascio,Serenella Arista,Giovanni Maurizio Giammanco",2009-11-04,,2089,,en,
